# Region      : cellZone box
# Cells       : 2720208
# Volume      : 5.251462e-06
# Time        	volAverage(vorticity)
287           	7.225615e-01
288           	8.516488e-01
289           	9.192910e-01
290           	9.425538e-01
291           	9.435979e-01
292           	9.416520e-01
293           	9.384055e-01
294           	9.090562e-01
295           	8.144462e-01
296           	6.534892e-01
297           	4.785396e-01
298           	4.246339e-01
299           	5.597329e-01
300           	7.643388e-01
301           	9.614509e-01
302           	1.144785e+00
303           	1.321662e+00
304           	1.468344e+00
305           	1.552102e+00
306           	1.576491e+00
307           	1.543233e+00
308           	1.426738e+00
309           	1.212561e+00
310           	9.149529e-01
311           	5.904794e-01
312           	4.516323e-01
313           	7.083656e-01
314           	1.079993e+00
315           	1.412866e+00
316           	1.672270e+00
317           	1.859401e+00
318           	1.975661e+00
319           	1.997282e+00
320           	1.926670e+00
321           	1.798962e+00
322           	1.647535e+00
323           	1.451788e+00
324           	1.204393e+00
325           	8.867314e-01
326           	5.114946e-01
327           	2.751201e-01
328           	6.133952e-01
329           	1.072828e+00
330           	1.514553e+00
331           	1.897441e+00
332           	2.184646e+00
333           	2.356111e+00
334           	2.411665e+00
335           	2.343586e+00
336           	2.157383e+00
337           	1.864282e+00
338           	1.483999e+00
339           	1.054049e+00
340           	5.854239e-01
341           	1.016306e-01
342           	4.849694e-01
343           	1.002611e+00
344           	1.454550e+00
345           	1.799881e+00
346           	2.006084e+00
347           	2.084400e+00
348           	2.080219e+00
349           	2.002865e+00
350           	1.834955e+00
351           	1.582440e+00
352           	1.287209e+00
353           	9.765946e-01
354           	6.846904e-01
355           	4.602189e-01
356           	4.252020e-01
357           	6.468796e-01
358           	9.414572e-01
359           	1.232068e+00
360           	1.495594e+00
361           	1.718204e+00
362           	1.883711e+00
363           	1.976675e+00
364           	1.982179e+00
365           	1.888495e+00
366           	1.694765e+00
367           	1.426931e+00
368           	1.115739e+00
369           	7.873736e-01
370           	4.773664e-01
371           	3.421973e-01
372           	5.348014e-01
373           	8.155768e-01
374           	1.071478e+00
375           	1.298484e+00
376           	1.470494e+00
377           	1.571829e+00
378           	1.607868e+00
379           	1.583246e+00
380           	1.490965e+00
381           	1.309406e+00
382           	1.052592e+00
383           	7.605311e-01
384           	4.996595e-01
385           	4.291091e-01
386           	5.898122e-01
387           	8.121442e-01
388           	1.034866e+00
389           	1.241466e+00
390           	1.402863e+00
391           	1.520879e+00
392           	1.605062e+00
393           	1.653333e+00
394           	1.663872e+00
395           	1.629267e+00
396           	1.557598e+00
397           	1.416345e+00
398           	1.175821e+00
399           	8.360251e-01
400           	4.621726e-01
401           	4.240914e-01
402           	8.171443e-01
403           	1.270554e+00
404           	1.691843e+00
405           	2.051421e+00
406           	2.330280e+00
407           	2.509822e+00
408           	2.559057e+00
409           	2.465394e+00
410           	2.240522e+00
411           	1.896617e+00
412           	1.472802e+00
413           	1.027444e+00
414           	5.721368e-01
415           	2.333154e-01
416           	4.698281e-01
417           	8.674497e-01
418           	1.216124e+00
419           	1.501095e+00
420           	1.731721e+00
421           	1.913215e+00
422           	2.041536e+00
423           	2.094708e+00
424           	2.033363e+00
425           	1.823597e+00
426           	1.465825e+00
427           	9.948081e-01
428           	4.930487e-01
429           	3.837858e-01
430           	7.959491e-01
431           	1.183734e+00
432           	1.488212e+00
433           	1.711344e+00
434           	1.864715e+00
435           	1.939153e+00
436           	1.919598e+00
437           	1.813965e+00
438           	1.628302e+00
439           	1.352795e+00
440           	9.954079e-01
441           	5.802659e-01
442           	2.106419e-01
443           	4.074945e-01
444           	7.650136e-01
445           	1.020776e+00
446           	1.163704e+00
447           	1.219773e+00
448           	1.233475e+00
449           	1.237191e+00
450           	1.233759e+00
451           	1.196763e+00
452           	1.106842e+00
453           	9.575531e-01
454           	7.688482e-01
455           	5.884701e-01
456           	4.497760e-01
457           	3.591682e-01
458           	3.013646e-01
459           	2.801509e-01
460           	3.111721e-01
461           	3.927545e-01
462           	5.040899e-01
463           	6.267943e-01
464           	7.437048e-01
465           	8.069862e-01
466           	7.903980e-01
467           	6.897203e-01
468           	5.456181e-01
469           	4.151362e-01
470           	3.188480e-01
471           	2.476075e-01
472           	2.021199e-01
473           	2.068307e-01
474           	2.734143e-01
475           	3.763940e-01
476           	5.021565e-01
477           	6.574262e-01
478           	8.494654e-01
479           	1.047128e+00
480           	1.201052e+00
481           	1.284196e+00
482           	1.281257e+00
483           	1.191337e+00
484           	1.024608e+00
485           	7.973477e-01
486           	5.587939e-01
487           	3.647288e-01
488           	2.977612e-01
489           	3.657400e-01
490           	4.624863e-01
491           	5.353462e-01
492           	5.717592e-01
493           	5.799821e-01
494           	5.714630e-01
495           	5.515722e-01
496           	4.994312e-01
497           	4.006213e-01
498           	2.852209e-01
499           	2.625694e-01
500           	3.976889e-01
501           	5.756645e-01
502           	7.383940e-01
503           	8.691518e-01
