# Region      : cellZone box
# Cells       : 2720208
# Volume      : 5.251462e-06
# Time        	volAverage(U)
287           	1.629168e+00
288           	1.629193e+00
289           	1.629139e+00
290           	1.628988e+00
291           	1.628757e+00
292           	1.628499e+00
293           	1.628285e+00
294           	1.628189e+00
295           	1.628252e+00
296           	1.628453e+00
297           	1.628714e+00
298           	1.628986e+00
299           	1.629196e+00
300           	1.629264e+00
301           	1.629177e+00
302           	1.629022e+00
303           	1.628878e+00
304           	1.628803e+00
305           	1.628823e+00
306           	1.628879e+00
307           	1.628886e+00
308           	1.628811e+00
309           	1.628661e+00
310           	1.628491e+00
311           	1.628386e+00
312           	1.628368e+00
313           	1.628450e+00
314           	1.628639e+00
315           	1.628854e+00
316           	1.629009e+00
317           	1.629078e+00
318           	1.629059e+00
319           	1.629007e+00
320           	1.628900e+00
321           	1.628794e+00
322           	1.628709e+00
323           	1.628653e+00
324           	1.628634e+00
325           	1.628620e+00
326           	1.628637e+00
327           	1.628662e+00
328           	1.628673e+00
329           	1.628694e+00
330           	1.628740e+00
331           	1.628806e+00
332           	1.628880e+00
333           	1.628961e+00
334           	1.628983e+00
335           	1.628943e+00
336           	1.628837e+00
337           	1.628728e+00
338           	1.628636e+00
339           	1.628591e+00
340           	1.628566e+00
341           	1.628491e+00
342           	1.628402e+00
343           	1.628371e+00
344           	1.628434e+00
345           	1.628544e+00
346           	1.628715e+00
347           	1.628936e+00
348           	1.629119e+00
349           	1.629190e+00
350           	1.629152e+00
351           	1.629048e+00
352           	1.628914e+00
353           	1.628746e+00
354           	1.628553e+00
355           	1.628387e+00
356           	1.628276e+00
357           	1.628248e+00
358           	1.628337e+00
359           	1.628526e+00
360           	1.628786e+00
361           	1.629025e+00
362           	1.629165e+00
363           	1.629210e+00
364           	1.629157e+00
365           	1.629035e+00
366           	1.628870e+00
367           	1.628726e+00
368           	1.628629e+00
369           	1.628601e+00
370           	1.628605e+00
371           	1.628626e+00
372           	1.628637e+00
373           	1.628669e+00
374           	1.628746e+00
375           	1.628837e+00
376           	1.628922e+00
377           	1.628989e+00
378           	1.629006e+00
379           	1.628943e+00
380           	1.628795e+00
381           	1.628619e+00
