# Region      : cellZone box
# Cells       : 2628800
# Volume      : 5.249270e-06
# Time        	volAverage(U)
287           	1.628561e+00
288           	1.628626e+00
289           	1.628687e+00
290           	1.628697e+00
291           	1.628664e+00
292           	1.628613e+00
293           	1.628576e+00
294           	1.628559e+00
295           	1.628557e+00
296           	1.628559e+00
297           	1.628541e+00
298           	1.628478e+00
299           	1.628396e+00
300           	1.628339e+00
301           	1.628311e+00
302           	1.628316e+00
303           	1.628367e+00
304           	1.628451e+00
305           	1.628510e+00
306           	1.628514e+00
307           	1.628454e+00
308           	1.628349e+00
309           	1.628250e+00
310           	1.628216e+00
311           	1.628270e+00
312           	1.628402e+00
313           	1.628562e+00
314           	1.628675e+00
315           	1.628725e+00
316           	1.628721e+00
317           	1.628651e+00
318           	1.628533e+00
319           	1.628365e+00
320           	1.628199e+00
321           	1.628093e+00
322           	1.628040e+00
323           	1.628030e+00
324           	1.628037e+00
325           	1.628047e+00
326           	1.628068e+00
327           	1.628130e+00
328           	1.628224e+00
329           	1.628348e+00
330           	1.628479e+00
331           	1.628587e+00
332           	1.628665e+00
333           	1.628721e+00
334           	1.628756e+00
335           	1.628744e+00
336           	1.628669e+00
337           	1.628539e+00
338           	1.628406e+00
339           	1.628279e+00
340           	1.628177e+00
341           	1.628087e+00
342           	1.628008e+00
343           	1.627926e+00
344           	1.627849e+00
345           	1.627837e+00
346           	1.627895e+00
347           	1.628036e+00
348           	1.628232e+00
349           	1.628442e+00
350           	1.628633e+00
351           	1.628785e+00
352           	1.628887e+00
353           	1.628921e+00
354           	1.628889e+00
355           	1.628810e+00
356           	1.628735e+00
357           	1.628655e+00
358           	1.628547e+00
359           	1.628407e+00
360           	1.628234e+00
361           	1.628054e+00
362           	1.627897e+00
363           	1.627786e+00
364           	1.627736e+00
365           	1.627776e+00
366           	1.627897e+00
367           	1.628049e+00
368           	1.628215e+00
369           	1.628364e+00
370           	1.628484e+00
371           	1.628568e+00
372           	1.628622e+00
373           	1.628661e+00
374           	1.628686e+00
375           	1.628687e+00
376           	1.628673e+00
377           	1.628646e+00
378           	1.628604e+00
379           	1.628530e+00
380           	1.628385e+00
381           	1.628181e+00
382           	1.627969e+00
383           	1.627821e+00
384           	1.627769e+00
385           	1.627816e+00
386           	1.627940e+00
387           	1.628107e+00
388           	1.628274e+00
389           	1.628439e+00
390           	1.628590e+00
391           	1.628695e+00
392           	1.628730e+00
393           	1.628689e+00
394           	1.628620e+00
395           	1.628566e+00
396           	1.628531e+00
397           	1.628517e+00
398           	1.628478e+00
399           	1.628401e+00
400           	1.628306e+00
401           	1.628204e+00
402           	1.628118e+00
403           	1.628074e+00
404           	1.628065e+00
405           	1.628086e+00
406           	1.628133e+00
407           	1.628188e+00
408           	1.628251e+00
409           	1.628307e+00
410           	1.628368e+00
411           	1.628447e+00
412           	1.628530e+00
413           	1.628591e+00
414           	1.628612e+00
415           	1.628572e+00
416           	1.628492e+00
417           	1.628406e+00
418           	1.628364e+00
419           	1.628346e+00
420           	1.628337e+00
421           	1.628319e+00
422           	1.628308e+00
423           	1.628295e+00
424           	1.628273e+00
425           	1.628244e+00
426           	1.628203e+00
427           	1.628182e+00
428           	1.628214e+00
429           	1.628294e+00
430           	1.628395e+00
431           	1.628495e+00
432           	1.628560e+00
433           	1.628596e+00
434           	1.628598e+00
435           	1.628562e+00
436           	1.628498e+00
437           	1.628449e+00
438           	1.628433e+00
439           	1.628448e+00
440           	1.628473e+00
441           	1.628483e+00
442           	1.628465e+00
443           	1.628436e+00
444           	1.628388e+00
445           	1.628339e+00
446           	1.628341e+00
447           	1.628371e+00
448           	1.628399e+00
449           	1.628419e+00
450           	1.628442e+00
451           	1.628453e+00
452           	1.628438e+00
453           	1.628399e+00
454           	1.628341e+00
455           	1.628307e+00
456           	1.628299e+00
457           	1.628298e+00
458           	1.628312e+00
459           	1.628358e+00
460           	1.628421e+00
461           	1.628476e+00
462           	1.628496e+00
463           	1.628485e+00
464           	1.628444e+00
465           	1.628406e+00
466           	1.628408e+00
467           	1.628439e+00
468           	1.628475e+00
469           	1.628471e+00
470           	1.628437e+00
471           	1.628393e+00
472           	1.628324e+00
473           	1.628245e+00
474           	1.628162e+00
475           	1.628135e+00
476           	1.628186e+00
477           	1.628303e+00
478           	1.628444e+00
479           	1.628540e+00
480           	1.628571e+00
481           	1.628542e+00
482           	1.628494e+00
483           	1.628458e+00
484           	1.628441e+00
485           	1.628457e+00
486           	1.628490e+00
487           	1.628528e+00
488           	1.628548e+00
489           	1.628547e+00
490           	1.628500e+00
491           	1.628405e+00
492           	1.628297e+00
493           	1.628230e+00
494           	1.628243e+00
495           	1.628324e+00
496           	1.628409e+00
497           	1.628454e+00
498           	1.628467e+00
499           	1.628476e+00
500           	1.628493e+00
501           	1.628513e+00
502           	1.628540e+00
503           	1.628569e+00
504           	1.628573e+00
505           	1.628537e+00
506           	1.628482e+00
507           	1.628419e+00
508           	1.628366e+00
509           	1.628339e+00
510           	1.628337e+00
511           	1.628347e+00
512           	1.628358e+00
513           	1.628377e+00
514           	1.628375e+00
515           	1.628327e+00
516           	1.628236e+00
517           	1.628150e+00
518           	1.628130e+00
519           	1.628193e+00
520           	1.628290e+00
521           	1.628383e+00
522           	1.628475e+00
523           	1.628553e+00
524           	1.628579e+00
525           	1.628565e+00
526           	1.628530e+00
527           	1.628510e+00
528           	1.628505e+00
529           	1.628504e+00
530           	1.628486e+00
531           	1.628438e+00
532           	1.628338e+00
533           	1.628217e+00
534           	1.628119e+00
535           	1.628066e+00
536           	1.628070e+00
537           	1.628112e+00
538           	1.628172e+00
539           	1.628224e+00
540           	1.628237e+00
541           	1.628225e+00
542           	1.628197e+00
543           	1.628206e+00
544           	1.628264e+00
545           	1.628373e+00
546           	1.628494e+00
547           	1.628598e+00
548           	1.628648e+00
549           	1.628665e+00
550           	1.628642e+00
551           	1.628583e+00
552           	1.628492e+00
553           	1.628387e+00
554           	1.628297e+00
555           	1.628250e+00
556           	1.628231e+00
557           	1.628205e+00
558           	1.628177e+00
559           	1.628161e+00
560           	1.628166e+00
561           	1.628199e+00
562           	1.628256e+00
563           	1.628327e+00
564           	1.628418e+00
565           	1.628496e+00
566           	1.628540e+00
567           	1.628541e+00
568           	1.628514e+00
569           	1.628436e+00
570           	1.628333e+00
571           	1.628264e+00
572           	1.628258e+00
573           	1.628321e+00
574           	1.628391e+00
575           	1.628431e+00
576           	1.628443e+00
577           	1.628442e+00
578           	1.628420e+00
579           	1.628382e+00
580           	1.628324e+00
581           	1.628284e+00
582           	1.628297e+00
583           	1.628334e+00
584           	1.628370e+00
585           	1.628397e+00
586           	1.628417e+00
587           	1.628425e+00
588           	1.628421e+00
589           	1.628407e+00
590           	1.628394e+00
591           	1.628401e+00
592           	1.628416e+00
593           	1.628439e+00
594           	1.628450e+00
595           	1.628445e+00
596           	1.628420e+00
597           	1.628379e+00
598           	1.628321e+00
599           	1.628269e+00
600           	1.628232e+00
601           	1.628210e+00
602           	1.628204e+00
603           	1.628228e+00
604           	1.628295e+00
605           	1.628371e+00
606           	1.628451e+00
607           	1.628515e+00
608           	1.628537e+00
609           	1.628515e+00
610           	1.628463e+00
611           	1.628392e+00
612           	1.628334e+00
613           	1.628330e+00
614           	1.628349e+00
615           	1.628396e+00
616           	1.628457e+00
617           	1.628516e+00
618           	1.628543e+00
619           	1.628533e+00
620           	1.628507e+00
621           	1.628479e+00
622           	1.628435e+00
623           	1.628362e+00
624           	1.628315e+00
625           	1.628303e+00
626           	1.628328e+00
627           	1.628378e+00
628           	1.628438e+00
629           	1.628501e+00
630           	1.628550e+00
631           	1.628560e+00
632           	1.628554e+00
633           	1.628561e+00
634           	1.628598e+00
635           	1.628659e+00
636           	1.628686e+00
637           	1.628647e+00
638           	1.628556e+00
639           	1.628421e+00
640           	1.628288e+00
641           	1.628185e+00
642           	1.628141e+00
643           	1.628170e+00
644           	1.628266e+00
645           	1.628417e+00
646           	1.628559e+00
647           	1.628617e+00
648           	1.628576e+00
649           	1.628473e+00
650           	1.628350e+00
651           	1.628245e+00
652           	1.628209e+00
653           	1.628244e+00
654           	1.628327e+00
655           	1.628412e+00
656           	1.628463e+00
657           	1.628478e+00
658           	1.628436e+00
659           	1.628382e+00
660           	1.628344e+00
661           	1.628329e+00
662           	1.628350e+00
663           	1.628405e+00
664           	1.628476e+00
665           	1.628546e+00
666           	1.628600e+00
667           	1.628588e+00
668           	1.628496e+00
669           	1.628364e+00
670           	1.628233e+00
671           	1.628148e+00
672           	1.628114e+00
673           	1.628132e+00
674           	1.628212e+00
675           	1.628339e+00
676           	1.628473e+00
677           	1.628566e+00
678           	1.628594e+00
679           	1.628564e+00
680           	1.628501e+00
681           	1.628414e+00
682           	1.628311e+00
683           	1.628228e+00
684           	1.628185e+00
685           	1.628191e+00
686           	1.628213e+00
687           	1.628253e+00
688           	1.628293e+00
689           	1.628302e+00
690           	1.628293e+00
691           	1.628280e+00
692           	1.628282e+00
693           	1.628306e+00
694           	1.628331e+00
695           	1.628364e+00
696           	1.628402e+00
697           	1.628447e+00
698           	1.628477e+00
699           	1.628474e+00
700           	1.628436e+00
701           	1.628391e+00
702           	1.628349e+00
703           	1.628324e+00
704           	1.628333e+00
705           	1.628386e+00
706           	1.628466e+00
707           	1.628565e+00
708           	1.628637e+00
709           	1.628665e+00
710           	1.628618e+00
711           	1.628499e+00
712           	1.628328e+00
713           	1.628168e+00
714           	1.628054e+00
715           	1.628017e+00
716           	1.628071e+00
717           	1.628197e+00
718           	1.628374e+00
719           	1.628535e+00
720           	1.628623e+00
721           	1.628617e+00
722           	1.628528e+00
723           	1.628411e+00
724           	1.628350e+00
725           	1.628336e+00
726           	1.628338e+00
727           	1.628355e+00
728           	1.628362e+00
729           	1.628369e+00
730           	1.628364e+00
731           	1.628319e+00
732           	1.628266e+00
733           	1.628259e+00
734           	1.628313e+00
735           	1.628419e+00
736           	1.628535e+00
737           	1.628597e+00
738           	1.628576e+00
739           	1.628489e+00
740           	1.628383e+00
741           	1.628322e+00
742           	1.628324e+00
743           	1.628370e+00
744           	1.628434e+00
745           	1.628484e+00
746           	1.628508e+00
747           	1.628498e+00
748           	1.628462e+00
749           	1.628424e+00
