# Region      : cellZone box
# Cells       : 2628800
# Volume      : 5.249270e-06
# Time        	volAverage(vorticity)
287           	5.596101e-01
288           	6.183698e-01
289           	6.427815e-01
290           	6.437068e-01
291           	6.172416e-01
292           	5.638998e-01
293           	4.834689e-01
294           	3.831951e-01
295           	2.738099e-01
296           	1.796221e-01
297           	1.613386e-01
298           	2.183658e-01
299           	2.749919e-01
300           	3.004131e-01
301           	2.972778e-01
302           	2.792976e-01
303           	2.602744e-01
304           	2.505418e-01
305           	2.540006e-01
306           	2.630092e-01
307           	2.706464e-01
308           	2.792173e-01
309           	2.915259e-01
310           	3.105487e-01
311           	3.331705e-01
312           	3.533521e-01
313           	3.610370e-01
314           	3.461397e-01
315           	3.023796e-01
316           	2.291223e-01
317           	1.352107e-01
318           	3.557400e-02
319           	6.071704e-02
320           	1.340922e-01
321           	1.863461e-01
322           	2.271777e-01
323           	2.687776e-01
324           	3.174589e-01
325           	3.703634e-01
326           	4.165491e-01
327           	4.445997e-01
328           	4.486968e-01
329           	4.262516e-01
330           	3.769618e-01
331           	3.044652e-01
332           	2.153707e-01
333           	1.262607e-01
334           	1.013533e-01
335           	1.709368e-01
336           	2.612716e-01
337           	3.488340e-01
338           	4.256871e-01
339           	4.874988e-01
340           	5.406300e-01
341           	5.896176e-01
342           	6.220428e-01
343           	6.243312e-01
344           	5.850512e-01
345           	5.044418e-01
346           	3.907513e-01
347           	2.538748e-01
348           	1.186858e-01
349           	1.087054e-01
350           	2.142632e-01
351           	2.949852e-01
352           	3.277423e-01
353           	3.142672e-01
354           	2.775912e-01
355           	2.570852e-01
356           	2.883079e-01
357           	3.637574e-01
358           	4.469411e-01
359           	5.074474e-01
360           	5.304275e-01
361           	5.095242e-01
362           	4.404652e-01
363           	3.245935e-01
364           	1.690814e-01
365           	2.233070e-02
366           	2.280061e-01
367           	4.261361e-01
368           	5.835064e-01
369           	6.755041e-01
370           	6.882584e-01
371           	6.069855e-01
372           	4.384311e-01
373           	2.191426e-01
374           	9.853662e-02
375           	3.221134e-01
376           	5.491804e-01
377           	7.315399e-01
378           	8.528283e-01
379           	9.048270e-01
380           	8.839674e-01
381           	7.905679e-01
382           	6.353453e-01
383           	4.380105e-01
384           	2.139376e-01
385           	2.595644e-02
386           	2.530262e-01
387           	4.499397e-01
388           	6.059614e-01
389           	7.157889e-01
390           	7.754719e-01
391           	7.833710e-01
392           	7.500979e-01
393           	6.850026e-01
394           	5.953843e-01
395           	4.820593e-01
396           	3.526722e-01
397           	2.532231e-01
398           	2.739388e-01
399           	3.887702e-01
400           	5.107925e-01
401           	6.083293e-01
402           	6.695577e-01
403           	6.850562e-01
404           	6.484018e-01
405           	5.595233e-01
406           	4.388386e-01
407           	3.339670e-01
408           	3.070705e-01
409           	3.656896e-01
410           	4.425523e-01
411           	4.883217e-01
412           	4.834356e-01
413           	4.213352e-01
414           	3.110366e-01
415           	1.820082e-01
416           	1.100514e-01
417           	1.999838e-01
418           	3.286206e-01
419           	4.376908e-01
420           	5.083380e-01
421           	5.344575e-01
422           	5.218465e-01
423           	5.084123e-01
424           	5.335934e-01
425           	6.045848e-01
426           	6.939624e-01
427           	7.707807e-01
428           	8.123402e-01
429           	8.006609e-01
430           	7.271238e-01
431           	5.945259e-01
432           	4.260115e-01
433           	3.074426e-01
434           	4.001845e-01
435           	6.286309e-01
436           	8.641924e-01
437           	1.048160e+00
438           	1.142518e+00
439           	1.125376e+00
440           	9.947810e-01
441           	7.677307e-01
442           	4.851930e-01
443           	2.815727e-01
444           	4.600000e-01
445           	7.984087e-01
446           	1.117441e+00
447           	1.363450e+00
448           	1.503549e+00
449           	1.520345e+00
450           	1.405623e+00
451           	1.160237e+00
452           	8.048211e-01
453           	3.839017e-01
454           	1.308179e-01
455           	5.271835e-01
456           	8.971064e-01
457           	1.175186e+00
458           	1.342416e+00
459           	1.382251e+00
460           	1.285912e+00
461           	1.066239e+00
462           	7.479793e-01
463           	3.657020e-01
